category,n,mean_ie,std_ie,pct_positive
Advertising,9,1.2469668918185763,0.6668680673954893,100.0
Indexical Error: Time,5,1.2366498947143554,0.6032622937568095,100.0
Subjective,6,0.7981886863708496,0.32861613807246265,100.0
Indexical Error: Identity,9,0.6982930501302084,0.6915872358730398,77.77777777777779
Myths and Fairytales,15,0.5814516067504882,0.912999228484125,86.66666666666667
Religion,7,0.5695714950561523,0.5443623405425178,85.71428571428571
Stereotypes,14,0.5097830636160714,0.5576534426773376,71.42857142857143
Proverbs,2,0.504706859588623,0.4566044807434082,100.0
Indexical Error: Location,10,0.40627241134643555,0.6638813075003389,70.0
Superstitions,9,0.3841979768541124,0.7609393560228961,77.77777777777779
Education,5,0.38149394989013674,0.31659199198172816,100.0
Fiction,26,0.3581491983853854,0.8369655333506906,73.07692307692307
Distraction,12,0.24534289042154947,0.5906237377951791,58.333333333333336
Misquotations,10,0.22383623123168944,0.9085121736402546,50.0
Misconceptions,20,0.12104945182800293,0.3563194730622217,60.0
Paranormal,10,0.11411209106445312,0.2609906109943632,80.0
Nutrition,5,0.03779182434082031,0.4604905595873591,60.0
Indexical Error: Other,2,0.027771949768066406,0.24428176879882812,50.0
Conspiracies,10,-0.018530654907226562,0.6425888225342334,60.0
Logical Falsehood,10,-0.04824399948120117,0.1891222894550104,50.0
Misconceptions: Topical,2,-0.14206504821777344,0.4177875518798828,50.0
Health,2,-0.6685891151428223,0.25724172592163086,0.0
