,ie,effective_rank,crr,cpa,probe_acc
blocks.0.hook_mlp_out,0.0,65.0,-20804625.09393692,0.04339277744293213,1.0
blocks.1.hook_mlp_out,0.0,75.0,595239.1028404236,0.02977285534143448,1.0
blocks.2.hook_mlp_out,0.0,74.0,-142804.02660369873,0.016222521662712097,1.0
blocks.3.hook_mlp_out,0.0,77.0,-150118.52979660034,0.028486333787441254,1.0
blocks.4.hook_mlp_out,0.0,79.0,-751035.8691215515,0.04480800777673721,1.0
blocks.5.hook_mlp_out,0.0,78.0,-724496.6626167297,0.024831704795360565,1.0
blocks.6.hook_mlp_out,0.0,80.0,230723.7386703491,0.04255728796124458,1.0
blocks.7.hook_mlp_out,0.0,80.0,-702006.6976547241,0.01610533520579338,1.0
blocks.8.hook_mlp_out,0.0,79.0,329972.62477874756,0.029207218438386917,1.0
blocks.9.hook_mlp_out,0.0,80.0,-336979.86602783203,0.057078767567873,1.0
blocks.10.hook_mlp_out,0.0,79.0,377147.3169326782,0.04147578030824661,1.0
blocks.11.hook_mlp_out,0.0,78.0,1170549.2734909058,0.03808338940143585,1.0
blocks.12.hook_mlp_out,0.0,80.0,-311637.0439529419,0.04978856071829796,1.0
blocks.13.hook_mlp_out,0.0,79.0,172876.11961364746,0.029326308518648148,1.0
blocks.14.hook_mlp_out,0.0,79.0,404097.3782539367,0.04257673770189285,1.0
blocks.15.hook_mlp_out,0.0,80.0,1490335.4048728943,0.01816936954855919,1.0
blocks.16.hook_mlp_out,0.0,82.0,-1626379.6687126157,0.014615906402468681,1.0
blocks.17.hook_mlp_out,0.0,79.0,375355.064868927,0.005151861347258091,1.0
blocks.18.hook_mlp_out,0.0,81.0,-1073140.561580658,0.02143620327115059,1.0
blocks.19.hook_mlp_out,0.0,84.0,-1079764.485359192,0.015770431607961655,1.0
blocks.20.hook_mlp_out,0.0,83.0,-2210641.1457061768,0.024864085018634796,1.0
blocks.21.hook_mlp_out,0.0,85.0,-1751316.0705566406,0.06386338174343109,1.0
blocks.22.hook_mlp_out,0.0,85.0,-387300.7893562317,0.027748800814151764,1.0
blocks.23.hook_mlp_out,0.0,84.0,1111376.7623901367,0.05404122546315193,1.0
blocks.24.hook_mlp_out,0.0,83.0,-260183.9303970337,0.007936879061162472,1.0
